视频名称,视频类型,up名字,视频简介,点赞数量,投币数,收藏数,分享数,视频链接
告别低颅顶/高颧骨/扁头！8个压箱底发型小技巧 | 手残必看！氛围感随手拈来！,美妆护肤,陈吃饭_,含辛茹苦总结出的发型超干货！走过路过别错过！,70304,31089,66520,3724,https://b23.tv/BV16q4y1Z7sA
【原神】这赞要是过五百，我直接手抄给这个视频点赞的所有人的ID!!!,GMV,SISTAR,素材：原神pv封面来源：BV1Yh411Y79aBGM:Collapsing World（Original Mix）提前祝贺一下原宝一周年生日这一年过得非常的快，前会时间还是一个刚入坑的萌新，现在已经快五十级了，回过来看这段时间真的很快，刚玩的时候不知道瞄点有什么用所以整天跑图，现在想起来那段时间应该是我玩整个游戏最快乐的时光了，一入坑原神就被它这庞大的世界观所吸引，从此一天就是十几小时的肝。总之希望原神以后变得越来越好然后，作为一个新人，这个视频制作不宜，希望大家给个三连支持一下,58273,6254,4825,310,https://b23.tv/BV1yA411F7ow
【免费】领取变声器即刻VTB出道,野生技能协会,幕后女声,投币三连 领取变声器软件 Studio one5 激活你的支持将会是我耐心更新每一个教程的动力 而不是视频被【某猫】【某调音师】【某花】拿去发B站说是他的软件,8555,13279,10165,785,https://b23.tv/BV1Dq4y1Z7zC
周星驰《回魂夜》25年前票房口碑双扑街，如今却是不可多得的经典,影视杂谈,百晓生一请勿催更,,28569,8670,4385,1146,https://b23.tv/BV1hb4y127oF
爱，冰冰和机器人,影视剪辑,_青红造了个白_,王冰冰的AI穿越之旅,166403,90084,35694,15325,https://b23.tv/BV1kM4y1G7Cq
真实存在的场景,野生动物,不良良良,"✨  ︵ (""\(●-●) \ /     0\ \  (          )""  \__T__/",116744,4186,45114,3559,https://b23.tv/BV1NP4y1Y7zJ
13元/碗超大大大牛筋面的中式快餐宝藏店 | 成都美味探店,美食侦探,密子君,YouTube频道：密子君Mires原创视频投稿：hr@ariesmedia.cn,20166,6413,2070,509,https://b23.tv/BV1c341127ze
【小明vs老王】戴上你你的耳机,鬼畜调教,此物天下绝响,戴上你你的耳机，放下你的长兵器‍(・ω< )★,15274,12987,3934,720,https://b23.tv/BV1QU4y1P7b9
【小峰】脑瘫少年玩《原神》一周年 请大家看看是不是正常的,手机游戏,小米亲ヾ,-,19225,6191,1078,705,https://b23.tv/BV1VL4y1a7cY
普通人五官不变，微调2个小细节，告别土气变精致！,美妆护肤,维他阿K,美女好看的㊙️秘密被我发现了！,90560,44537,71938,3867,https://b23.tv/BV1t3411q7po
教你用自己声音念咒！太尴尬了！【哈利波特魔法觉醒】,手机游戏,老骚豆腐,评论里可以说出你们想看什么类型的哈利波特视频！点赞过4W更新大家感兴趣的主题！,11428,3223,2032,4836,https://b23.tv/BV1nM4y1g7Ba
柴犬多年不曾被人触碰。为了能带它出门，不得不控制住它戴上牵引绳。,汪星人,训犬师阿杰,-,20411,989,1204,1394,https://b23.tv/BV1V44y1h7Yw
社 交 废 物 2,搞笑,是老胡没错,理论上来说和第一集并没有什么联系社交废物1：BV1vB4y1M7Wt,237304,47457,32400,14762,https://b23.tv/BV1sv411w73P
可乐杀精？经常喝可乐会有问题吗？【丁香较真】,科学科普,丁香医生,可乐，拥有着「快乐肥宅水」的绰号，几乎成了快乐的代名词。但每次喝可乐，各种「危害」总是会浮现在脑海中：致癌、杀精、骨质疏松、腐蚀消化道...... 今天我们就来讲讲：可乐喝多了，到底有什么问题？你可能还想看：七分钟高效燃脂跟练！BV1of4y1J7a3,13695,1477,2863,4259,https://b23.tv/BV1kq4y1N7P4
【4K60FPS】新裤子《你要跳舞吗》嗨翻神曲！你也想跳舞吗？,MV,音乐私藏馆,官方MV平台提取制作，由于是早期的MV，进行了重做之前很多粉丝说让我去听一些新的乐队我也确实花了两个月的时间，去听了新裤子的歌曲给群里的小伙伴发的一首歌，确实还是很不错的填的转载，祝大家开心,42461,8887,13572,3353,https://b23.tv/BV1ML411x7Tt
